Тарифы
Тариф	Стоимость (руб.)	Комплектность
Серебро	3500	Электровелосипед
Аккумуляторная батарея 30А
Профи	4200	Электровелосипед
Аккумуляторная батарея 20А – 2 штуки
Золото	4500	Электровелосипед
Аккумуляторная батарея 30А – 3 штуки


Штрафы
№	Нарушение	Ответственность
1	ДТП по вине Пользователя, повлекшее причинение вреда здоровью третьих лиц	блокировка доступа к прокату и штрафная неустойка - 30 000 ₽, а в случае наступления смерти третьего лица – штрафная неустойка - 100 000 ₽
2	ДТП по вине Пользователя, повлекшее причинение вреда имуществу третьих лиц	блокировка доступа к прокату сроком до конца календарного года, в котором совершено нарушение
3	ДТП по вине Пользователя, повлекшее причинение вреда городской инфраструктуре и объектам благоустройства	временная блокировка доступа к прокату сроком до конца календарного года, в котором совершено нарушение
4	Использование Средства передвижения в состоянии алкогольного, наркотического, токсического или иного опьянения, под воздействием лекарственных препаратов, ухудшающих реакцию и внимание, в болезненном или утомленном состоянии, ставящем под угрозу безопасность движения и окружающих	блокировка доступа к прокату и штрафная неустойка - 100 000 ₽
5	Движение по проезжей части при наличии велосипедной дорожки и пешеходной зоны, движение по пешеходной зоне при наличии велосипедной дорожки, движение по встречной велосипедной полосе	за первое нарушение – предупреждение; за последующее нарушение – блокировка доступа к прокату сроком до 14 (четырнадцать) дней
6	Использование Средства передвижения лицом, не достигшим допустимого Договором возраста, или передача Средства передвижения для самостоятельного передвижения лицу, не достигшему допустимого Договором возраста	временная блокировка доступа к прокату сроком до конца календарного года, в котором совершено нарушение, штрафная неустойка - 25 000 ₽
7	Использование Средства передвижения лицом, не достигшим возраста 16 лет, или передача Средства передвижения для самостоятельного передвижения лицу, не достигшему возраста 16 лет	блокировка доступа прокату и штрафная неустойка - 25 000 ₽
8	Пересечение проезжей части по надземным, подземным и иным пешеходным переходам, не спешиваясь со Средства передвижения	штрафная неустойка - 1 000 ₽
9	Передвижение на Средстве передвижения более чем одного человека, перевозка детей и животных, а также передвижение на Средстве передвижения при превышении суммарного веса (с одеждой, сумкой, рюкзаком и иным имуществом Пользователя) свыше 150 (ста пятидесяти) кг.	штрафная неустойка - 25000 ₽
10	Выезд на средстве передвижения за разрешенную территорию 	штрафная неустойка - 10 000 ₽
11	Привязка Пользователем для осуществления оплаты банковской карты третьего лица, а также массовая привязка одной и той же банковской карты к разным аккаунтам	блокировка доступа к Приложению 
12	Использование Средства передвижения для езды по непредназначенным для этого покрытиям, выполнение акробатических трюков и в иных, не предусмотренных Договором целях	за первое нарушение - предупреждение;
за последующее нарушение - блокировка доступа к прокату сроком до 14 (четырнадцать) дней
13	Выезд на средстве передвижения за территорию РФ	штрафная неустойка - 150 000 ₽
14	Нецелевое использование программного обеспечения	штрафная неустойка - 15 000 ₽
15	Потеря ключей от Аккумулятора	штрафная неустойка - 500 ₽
16	Потеря ключей от Электровелосипеда	штрафная неустойка - 1500 ₽












Прейскурант цен на запчасти
№	Стоимость замены запчастей
	Наименование	Цена (руб.)
1	Покрышка	3000
2	Ручка газа	от 2500
3	Мотор-колесо	14000
4	Контроллер	18000
5	Дисплей	2500
6	Педали	1000
7	Каретка	2000
8	Тормозная ручка	2500
9	Сиденье	1800
10	Подседельный штырь	2500
11	Камера	2000
12	Вилка	7000
13	Руль	3000
14	Колесо переднее	5000
15	Крыло переднее	1500
	Крыло заднее	2000
16	Подножка	2700
17	Шатун со звездой	1000
18	Шатун левый	1000
19	Зарядное устройство	3500
20	Монетка	5000
21	Модуль света/управления	2500
22	Механизм складывания руля	9000
23	Фонарь передний	2500
24	Исправление восьмерки колеса	4000
25	Суппорт	2500
26	Тормозной диск	2300
27	Ось переднего колеса	1700
28	Короб контроллера	4000
29	Цепь	1500
30	Переключатель скоростей	2000
31	Ремонт проводки	От 1500
32	Провод питания АКБ	2000
33	Ремонт рамы	От 7000
34	Задний фонарь	2500
35	Корзина	2200
36	Стойка АКБ	От 1200
37	Разъем питания АКБ	2300
38	Разъем зарядки АКБ	2300
39	Провод мотора	от 5000
40	Аккумуляторная батарея	40000
41	Возврат грязного электровелосипеда	1500
